Date of Week End,Candidate,Platform,Spend
5/4/2019,Pete Buttigieg,Google,62200
5/4/2019,Jay Inslee,Facebook,57603
5/4/2019,Bernie Sanders,Facebook,55687
5/4/2019,Joe Biden,Google,55300
5/4/2019,Kamala Harris,Google,52800
5/4/2019,Andrew Yang,Facebook,51097
5/4/2019,Beto O'Rourke,Facebook,48653
5/4/2019,Cory Booker,Facebook,47063
5/4/2019,Marianne Williamson,Facebook,38970
5/4/2019,Pete Buttigieg,Facebook,34244
5/4/2019,Elizabeth Warren,Google,32600
5/4/2019,Julián Castro,Facebook,28099
5/4/2019,John Hickenlooper,Facebook,24426
5/4/2019,Michael Bennet,Facebook,22060
5/4/2019,Tulsi Gabbard,Facebook,21941
5/4/2019,Beto O'Rourke,Google,21500
5/4/2019,Tulsi Gabbard,Google,19300
5/4/2019,Marianne Williamson,Google,12500
5/4/2019,Jay Inslee,Google,11000
5/4/2019,Kirsten Gillibrand,Facebook,10806
5/4/2019,Seth Moulton,Facebook,9893
5/4/2019,Eric Swalwell,Google,6900
5/4/2019,Tim Ryan,Facebook,5960
5/4/2019,Amy Klobuchar,Facebook,5485
5/4/2019,John Hickenlooper,Google,5200
5/4/2019,Amy Klobuchar,Google,4300
5/4/2019,Cory Booker,Google,3500
5/4/2019,Tim Ryan,Google,3200
5/4/2019,Seth Moulton,Google,2900
5/4/2019,Kirsten Gillibrand,Google,2700
5/4/2019,Julián Castro,Google,1900
5/4/2019,Bernie Sanders,Google,1600
5/4/2019,Eric Swalwell,Facebook,1567
5/4/2019,Andrew Yang,Google,1000
5/11/2019,Joe Biden,Facebook,238560
5/11/2019,Donald Trump,Facebook,107824
5/11/2019,Elizabeth Warren,Facebook,88048
5/11/2019,Michael Bennet,Facebook,78968
5/11/2019,Kamala Harris,Facebook,77880
5/11/2019,Pete Buttigieg,Google,77500
5/11/2019,Donald Trump,Google,61200
5/11/2019,Jay Inslee,Facebook,59102
5/11/2019,Elizabeth Warren,Google,39900
5/11/2019,Kirsten Gillibrand,Facebook,36876
5/11/2019,Bernie Sanders,Facebook,27120
5/11/2019,Marianne Williamson,Facebook,26351
5/11/2019,Andrew Yang,Facebook,25717
5/11/2019,Joe Biden,Google,24400
5/11/2019,Tulsi Gabbard,Facebook,23748
5/11/2019,Beto O'Rourke,Google,18900
5/11/2019,John Hickenlooper,Facebook,16382
5/11/2019,Tulsi Gabbard,Google,16000
5/11/2019,Kamala Harris,Google,14200
5/11/2019,Pete Buttigieg,Facebook,13525
5/11/2019,Seth Moulton,Google,11100
5/11/2019,Seth Moulton,Facebook,10698
5/11/2019,Beto O'Rourke,Facebook,10313
5/11/2019,Jay Inslee,Google,9200
5/11/2019,Cory Booker,Google,8900
5/11/2019,Julián Castro,Facebook,7771
5/11/2019,Amy Klobuchar,Facebook,6392
5/11/2019,Eric Swalwell,Google,6200
5/11/2019,John Delaney,Facebook,5747
5/11/2019,Marianne Williamson,Google,4800
5/11/2019,Cory Booker,Facebook,4287
5/11/2019,John Hickenlooper,Google,3600
5/11/2019,Amy Klobuchar,Google,3200
5/11/2019,Tim Ryan,Google,3000
5/11/2019,Eric Swalwell,Facebook,2450
5/11/2019,Tim Ryan,Facebook,1653
5/11/2019,Julián Castro,Google,1600
5/11/2019,Andrew Yang,Google,1500
5/11/2019,Bernie Sanders,Google,1000
5/11/2019,Mike Gravel,Google,900
5/18/2019,Donald Trump,Facebook,107943
5/18/2019,Donald Trump,Google,104300
5/18/2019,Kamala Harris,Facebook,94443
5/18/2019,Joe Biden,Facebook,92555
5/18/2019,Elizabeth Warren,Facebook,84257
5/18/2019,Kirsten Gillibrand,Facebook,83055
5/18/2019,Michael Bennet,Facebook,77536
5/18/2019,Pete Buttigieg,Facebook,70910
5/18/2019,Jay Inslee,Facebook,56229
5/18/2019,Pete Buttigieg,Google,55100
5/18/2019,Elizabeth Warren,Google,52800
5/18/2019,Andrew Yang,Facebook,47562
5/18/2019,Tulsi Gabbard,Google,37400
5/18/2019,Steve Bullock,Google,23200
5/18/2019,Steve Bullock,Facebook,18705
5/18/2019,Kamala Harris,Google,18500
5/18/2019,Beto O'Rourke,Facebook,13939
5/18/2019,Amy Klobuchar,Facebook,13316
5/18/2019,Beto O'Rourke,Google,12500
5/18/2019,Julián Castro,Facebook,12491
5/18/2019,Seth Moulton,Google,11000
5/18/2019,Jay Inslee,Google,9800
